Domain (Unicode), Domain (IDNA), Domain (hex), Resolved IP, MX registered
1ng.pl,1ng.pl,316e672e706c,,false
8ng.pl,8ng.pl,386e672e706c,,false
9ng.pl,9ng.pl,396e672e706c,,false
account-login-ing.pl,account-login-ing.pl,6163636f756e742d6c6f67696e2d696e672e706c,,false
account-support-ing.pl,account-support-ing.pl,6163636f756e742d737570706f72742d696e672e706c,,false
account-verify-ing.pl,account-verify-ing.pl,6163636f756e742d7665726966792d696e672e706c,,false
accounts-login-ing.pl,accounts-login-ing.pl,6163636f756e74732d6c6f67696e2d696e672e706c,,false
ang.pl,ang.pl,616e672e706c,185.25.149.7,true
auth-access-ing.pl,auth-access-ing.pl,617574682d6163636573732d696e672e706c,,false
auth-ing.pl,auth-ing.pl,617574682d696e672e706c,,false
auth-user-ing.pl,auth-user-ing.pl,617574682d757365722d696e672e706c,,false
billing-ing.pl,billing-ing.pl,62696c6c696e672d696e672e706c,,false
eng.pl,eng.pl,656e672e706c,51.89.26.106,true
hng.pl,hng.pl,686e672e706c,104.247.81.99,false
i-ng.pl,i-ng.pl,692d6e672e706c,,false
i.ng.pl,i.ng.pl,692e6e672e706c,,false
ibg.pl,ibg.pl,6962672e706c,195.78.67.70,true
ibng.pl,ibng.pl,69626e672e706c,,false
ifg.pl,ifg.pl,6966672e706c,213.108.60.202,true
ig.pl,ig.pl,69672e706c,,true
ign.pl,ign.pl,69676e2e706c,94.152.8.15,true
ihg.pl,ihg.pl,6968672e706c,91.211.221.147,true
ihng.pl,ihng.pl,69686e672e706c,,false
iing.pl,iing.pl,69696e672e706c,185.253.212.22,true
ijg.pl,ijg.pl,696a672e706c,188.128.255.251,false
ijng.pl,ijng.pl,696a6e672e706c,185.253.212.22,true
ilg.pl,ilg.pl,696c672e706c,188.128.255.251,false
img.pl,img.pl,696d672e706c,185.253.212.22,true
imng.pl,imng.pl,696d6e672e706c,,false
in-g.pl,in-g.pl,696e2d672e706c,,false
in.g.pl,in.g.pl,696e2e672e706c,,false
in.pl,in.pl,696e2e706c,,false
inb.pl,inb.pl,696e622e706c,188.128.255.251,false
inbg.pl,inbg.pl,696e62672e706c,185.253.212.22,true
inc.pl,inc.pl,696e632e706c,195.88.51.241,true
ine.pl,ine.pl,696e652e706c,188.128.255.251,false
inf.pl,inf.pl,696e662e706c,91.194.122.61,true
infg.pl,infg.pl,696e66672e706c,172.237.146.38,true
ing.au,ing.au,696e672e6175,,false
ing.biz,ing.biz,696e672e62697a,,true
ing.br,ing.br,696e672e6272,,false
ing.buzz,ing.buzz,696e672e62757a7a,,false
ing.cf,ing.cf,696e672e6366,,false
ing.cn,ing.cn,696e672e636e,8.218.126.38,false
ing.co,ing.co,696e672e636f,,false
ing.com,ing.com,696e672e636f6d,23.219.79.84,true
ing.de,ing.de,696e672e6465,104.81.116.183,true
ing.fit,ing.fit,696e672e666974,44.227.65.245,false
ing.ga,ing.ga,696e672e6761,,false
ing.gq,ing.gq,696e672e6771,,false
ing.host,ing.host,696e672e686f7374,,false
ing.icu,ing.icu,696e672e696375,172.104.203.186,false
ing.in,ing.in,696e672e696e,,false
ing.info,ing.info,696e672e696e666f,,true
ing.io,ing.io,696e672e696f,107.170.244.117,false
